Category: All categories

Week,Symptoms of COVID-19: (United States)
2020-05-03,35
2020-05-10,34
2020-05-17,32
2020-05-24,30
2020-05-31,27
2020-06-07,32
2020-06-14,50
2020-06-21,74
2020-06-28,88
2020-07-05,93
2020-07-12,87
2020-07-19,68
2020-07-26,66
2020-08-02,65
2020-08-09,53
2020-08-16,46
2020-08-23,44
2020-08-30,45
2020-09-06,43
2020-09-13,43
2020-09-20,46
2020-09-27,50
2020-10-04,62
2020-10-11,54
2020-10-18,54
2020-10-25,62
2020-11-01,58
2020-11-08,84
2020-11-15,100
2020-11-22,89
2020-11-29,89
2020-12-06,84
2020-12-13,81
2020-12-20,84
2020-12-27,85
2021-01-03,76
2021-01-10,64
2021-01-17,54
2021-01-24,48
2021-01-31,41
2021-02-07,37
2021-02-14,28
2021-02-21,30
2021-02-28,28
2021-03-07,27
2021-03-14,25
2021-03-21,28
2021-03-28,28
2021-04-04,30
2021-04-11,29
2021-04-18,27
2021-04-25,24
2021-05-02,21
2021-05-09,18
2021-05-16,17
2021-05-23,15
2021-05-30,14
2021-06-06,12
2021-06-13,12
2021-06-20,13
2021-06-27,14
2021-07-04,17
2021-07-11,21
2021-07-18,31
2021-07-25,42
2021-08-01,52
2021-08-08,60
2021-08-15,66
2021-08-22,65
2021-08-29,62
2021-09-05,56
2021-09-12,48
2021-09-19,41
2021-09-26,37
2021-10-03,29
2021-10-10,24
2021-10-17,22
2021-10-24,20
2021-10-31,22
2021-11-07,23
2021-11-14,25
2021-11-21,23
2021-11-28,28
2021-12-05,27
2021-12-12,34
2021-12-19,56
2021-12-26,78
2022-01-02,81
2022-01-09,73
